id,totalCost,neighbourhood,bedrooms,url
893309230,3186,Gutierrez,3,https://www.quintoandar.com.br/imovel/893309230/
893948219,2922,São Lucas,3,https://www.quintoandar.com.br/imovel/893948219/
893993269,2675,Sion,3,https://www.quintoandar.com.br/imovel/893993269/
893856550,3334,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893856550/
893111129,2047,Gutierrez,2,https://www.quintoandar.com.br/imovel/893111129/
893962031,2876,São Lucas,3,https://www.quintoandar.com.br/imovel/893962031/
893105338,2578,Cruzeiro,3,https://www.quintoandar.com.br/imovel/893105338/
893524214,3285,Gutierrez,4,https://www.quintoandar.com.br/imovel/893524214/
894002083,3000,Serra,3,https://www.quintoandar.com.br/imovel/894002083/
892897948,2324,Cidade Jardim,3,https://www.quintoandar.com.br/imovel/892897948/
893979985,3319,Cidade Jardim,3,https://www.quintoandar.com.br/imovel/893979985/
893980935,2680,São Pedro,3,https://www.quintoandar.com.br/imovel/893980935/
893623839,1875,Prado,2,https://www.quintoandar.com.br/imovel/893623839/
893982677,3181,Prado,3,https://www.quintoandar.com.br/imovel/893982677/
893999280,2997,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893999280/
894002072,2341,Cidade Jardim,3,https://www.quintoandar.com.br/imovel/894002072/
893859431,2740,Serra,3,https://www.quintoandar.com.br/imovel/893859431/
893589909,2794,Colégio Batista,2,https://www.quintoandar.com.br/imovel/893589909/
894006216,2535,Serra,2,https://www.quintoandar.com.br/imovel/894006216/
893996894,3185,Sion,3,https://www.quintoandar.com.br/imovel/893996894/
893657663,3352,Colégio Batista,3,https://www.quintoandar.com.br/imovel/893657663/
893856455,3497,Serra,2,https://www.quintoandar.com.br/imovel/893856455/
893857444,3216,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893857444/
893856970,2535,Serra,3,https://www.quintoandar.com.br/imovel/893856970/
893856810,2861,Anchieta,4,https://www.quintoandar.com.br/imovel/893856810/
893507793,2782,Santo Antônio,2,https://www.quintoandar.com.br/imovel/893507793/
893152146,2246,Serra,3,https://www.quintoandar.com.br/imovel/893152146/
893878477,3396,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893878477/
893857823,3296,Santa Tereza,3,https://www.quintoandar.com.br/imovel/893857823/
893611334,2058,Santa Tereza,3,https://www.quintoandar.com.br/imovel/893611334/
893859330,2054,Santa Tereza,2,https://www.quintoandar.com.br/imovel/893859330/
894007577,3423,Sion,2,https://www.quintoandar.com.br/imovel/894007577/
893231208,2802,Sion,3,https://www.quintoandar.com.br/imovel/893231208/
893006766,3295,Serra,3,https://www.quintoandar.com.br/imovel/893006766/
893004312,3306,São Lucas,3,https://www.quintoandar.com.br/imovel/893004312/
893626825,2641,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893626825/
893283141,3222,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893283141/
893187541,2224,Sion,2,https://www.quintoandar.com.br/imovel/893187541/
893582042,2965,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893582042/
892903732,2586,Santo Antônio,2,https://www.quintoandar.com.br/imovel/892903732/
892857774,2218,Serra,2,https://www.quintoandar.com.br/imovel/892857774/
894013126,2419,Serra,3,https://www.quintoandar.com.br/imovel/894013126/
893390455,2469,Santo Antônio,2,https://www.quintoandar.com.br/imovel/893390455/
893000040,3293,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893000040/
892871038,2805,Santo Antônio,3,https://www.quintoandar.com.br/imovel/892871038/
893062526,2230,Santo Antônio,2,https://www.quintoandar.com.br/imovel/893062526/
894017931,2374,Santo Antônio,2,https://www.quintoandar.com.br/imovel/894017931/
893448145,3398,Sion,3,https://www.quintoandar.com.br/imovel/893448145/
893954034,2965,Serra,3,https://www.quintoandar.com.br/imovel/893954034/
893452708,3094,Santo Antônio,4,https://www.quintoandar.com.br/imovel/893452708/
893587768,2084,Colégio Batista,5,https://www.quintoandar.com.br/imovel/893587768/
892929040,2580,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/892929040/
893124660,3265,Cruzeiro,3,https://www.quintoandar.com.br/imovel/893124660/
893414481,3217,São Pedro,3,https://www.quintoandar.com.br/imovel/893414481/
893559671,3208,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893559671/
893316974,3006,Cruzeiro,3,https://www.quintoandar.com.br/imovel/893316974/
893241703,1349,Santa Efigênia,2,https://www.quintoandar.com.br/imovel/893241703/
893569207,2940,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893569207/
894021361,1938,Santa Efigênia,2,https://www.quintoandar.com.br/imovel/894021361/
894015198,1655,São Lucas,2,https://www.quintoandar.com.br/imovel/894015198/
893523991,2300,Cruzeiro,3,https://www.quintoandar.com.br/imovel/893523991/
893494251,1841,Santa Tereza,2,https://www.quintoandar.com.br/imovel/893494251/
893329790,3303,Sion,3,https://www.quintoandar.com.br/imovel/893329790/
893246061,3436,Cruzeiro,3,https://www.quintoandar.com.br/imovel/893246061/
893225069,3012,Santa Efigênia,2,https://www.quintoandar.com.br/imovel/893225069/
893178762,2089,São Lucas,2,https://www.quintoandar.com.br/imovel/893178762/
893013936,2916,Santo Antônio,2,https://www.quintoandar.com.br/imovel/893013936/
893786274,1928,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893786274/
893823287,3482,São Pedro,3,https://www.quintoandar.com.br/imovel/893823287/
893957685,2296,Santa Efigênia,2,https://www.quintoandar.com.br/imovel/893957685/
894029708,2672,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894029708/
894019872,2627,São Pedro,2,https://www.quintoandar.com.br/imovel/894019872/
894029238,2174,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894029238/
893349797,2380,Anchieta,3,https://www.quintoandar.com.br/imovel/893349797/
893230915,2335,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893230915/
894033216,2506,Santa Efigênia,4,https://www.quintoandar.com.br/imovel/894033216/
892953503,2920,Santo Antônio,3,https://www.quintoandar.com.br/imovel/892953503/
893031595,2626,Santo Antônio,2,https://www.quintoandar.com.br/imovel/893031595/
893552170,2367,Santa Tereza,3,https://www.quintoandar.com.br/imovel/893552170/
894034037,2502,Sion,3,https://www.quintoandar.com.br/imovel/894034037/
893407890,2925,Santo Antônio,4,https://www.quintoandar.com.br/imovel/893407890/
894007288,2634,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894007288/
893399494,2696,Serra,2,https://www.quintoandar.com.br/imovel/893399494/
894026111,2328,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894026111/
894037469,2095,Serra,3,https://www.quintoandar.com.br/imovel/894037469/
894036774,2415,Santo Antônio,2,https://www.quintoandar.com.br/imovel/894036774/
894048598,2008,Colégio Batista,5,https://www.quintoandar.com.br/imovel/894048598/
893272310,2781,Anchieta,3,https://www.quintoandar.com.br/imovel/893272310/
893629186,2371,Santa Efigênia,2,https://www.quintoandar.com.br/imovel/893629186/
893128967,1998,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893128967/
893295885,2902,Serra,3,https://www.quintoandar.com.br/imovel/893295885/
893103254,2930,Cruzeiro,3,https://www.quintoandar.com.br/imovel/893103254/
893097550,1987,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893097550/
894057295,1554,Colégio Batista,2,https://www.quintoandar.com.br/imovel/894057295/
893005021,1497,Santa Efigênia,2,https://www.quintoandar.com.br/imovel/893005021/
893951450,2250,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893951450/
893232631,2975,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893232631/
893313317,2597,Santo Antônio,4,https://www.quintoandar.com.br/imovel/893313317/
893226455,2287,Sion,2,https://www.quintoandar.com.br/imovel/893226455/
893010394,2832,Santa Tereza,3,https://www.quintoandar.com.br/imovel/893010394/
893518326,2264,Cruzeiro,2,https://www.quintoandar.com.br/imovel/893518326/
894064794,2443,Serra,3,https://www.quintoandar.com.br/imovel/894064794/
893567919,1772,Santa Tereza,2,https://www.quintoandar.com.br/imovel/893567919/
893595789,2734,São Pedro,3,https://www.quintoandar.com.br/imovel/893595789/
894035919,2933,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894035919/
893984832,2305,Santo Antônio,2,https://www.quintoandar.com.br/imovel/893984832/
893345902,2925,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893345902/
893463896,2194,Santa Tereza,2,https://www.quintoandar.com.br/imovel/893463896/
894055541,1936,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894055541/
893856727,2489,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893856727/
894070561,2992,Santo Antônio,2,https://www.quintoandar.com.br/imovel/894070561/
893603091,2912,Serra,2,https://www.quintoandar.com.br/imovel/893603091/
894375374,2901,Serra,2,https://www.quintoandar.com.br/imovel/894375374/
894287574,2735,Anchieta,3,https://www.quintoandar.com.br/imovel/894287574/
894378281,2712,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894378281/
893923765,2700,Anchieta,3,https://www.quintoandar.com.br/imovel/893923765/
893271548,2161,Sion,2,https://www.quintoandar.com.br/imovel/893271548/
894329126,3176,Cruzeiro,3,https://www.quintoandar.com.br/imovel/894329126/
893856834,2987,Gutierrez,3,https://www.quintoandar.com.br/imovel/893856834/
